"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",2.01333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",2.04,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",1.37333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",1.33333333333333,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",-0.0472000000000001,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",-0.0808666666666666,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",-0.0054333333333334,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",-0.175433333333333,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",-0.155433333333334,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",-0.155433333333334,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",-0.155433333333334,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",-0.155433333333334,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",-0.155433333333334,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",-0.155433333333334,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",-0.155433333333334,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",-0.155433333333334,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",-0.155433333333334,
"AUT","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",-0.109586950333334,
"AUT","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",-0.146464848666667,
"AUT","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",-0.0609185713333336,
"AUT","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",-0.285584088666667,
"AUT","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",-0.265584088666667,
"AUT","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",-0.265584088666667,
"AUT","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",-0.265584088666667,
"AUT","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",-0.265584088666667,
"AUT","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",-0.265584088666667,
"AUT","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",-0.265584088666667,
"AUT","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",-0.265584088666667,
"AUT","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",-0.265584088666667,
"AUT","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",-0.265584088666667,
"CZE","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",1.43333333333333,
"CZE","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",1.45666666666667,
"CZE","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",1.02,
"CZE","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",0.93,
"CZE","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",0.93,
"CZE","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",0.93,
"CZE","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",0.93,
"CZE","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",0.93,
"CZE","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",0.93,
"CZE","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",0.93,
"CZE","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",0.93,
"CZE","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",0.93,
"CZE","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",0.93,
"ESP","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",0.340867756333333,
"ESP","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",0.400309090666667,
"ESP","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",0.695438239666666,
"ESP","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",0.316359244666667,
"ESP","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",0.336359244666667,
"ESP","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",0.336359244666667,
"ESP","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",0.336359244666667,
"ESP","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",0.336359244666667,
"ESP","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",0.336359244666667,
"ESP","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",0.336359244666667,
"ESP","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",0.336359244666667,
"ESP","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",0.336359244666667,
"ESP","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",0.336359244666667,
"NLD","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",-0.213333333333334,
"NLD","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",-0.28,
"NLD","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",-0.273333333333333,
"NLD","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",-0.413333333333333,
"NLD","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",-0.393333333333334,
"NLD","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",-0.393333333333334,
"NLD","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",-0.393333333333334,
"NLD","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",-0.393333333333334,
"NLD","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",-0.393333333333334,
"NLD","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",-0.393333333333334,
"NLD","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",-0.393333333333334,
"NLD","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",-0.393333333333334,
"NLD","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",-0.393333333333334,
"BEL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",-0.0633333333333334,
"BEL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",-0.06,
"BEL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",0.0466666666666665,
"BEL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",-0.21,
"BEL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",-0.19,
"BEL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",-0.19,
"BEL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",-0.19,
"BEL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",-0.19,
"BEL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",-0.19,
"BEL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",-0.19,
"BEL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",-0.19,
"BEL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",-0.19,
"BEL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",-0.19,
"DEU","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",-0.373790283666667,
"DEU","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",-0.440484848666667,
"DEU","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",-0.466761904666667,
"DEU","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",-0.523640755333333,
"DEU","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",-0.503640755333334,
"DEU","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",-0.503640755333334,
"DEU","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",-0.503640755333334,
"DEU","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",-0.503640755333334,
"DEU","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",-0.503640755333334,
"DEU","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",-0.503640755333334,
"DEU","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",-0.503640755333334,
"DEU","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",-0.503640755333334,
"DEU","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",-0.503640755333334,
"DNK","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",-0.333333333333333,
"DNK","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",-0.36,
"DNK","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",-0.253333333333333,
"DNK","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",-0.363333333333333,
"DNK","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",-0.41,
"DNK","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",-0.41,
"DNK","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",-0.41,
"DNK","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",-0.41,
"DNK","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",-0.41,
"DNK","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",-0.41,
"DNK","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",-0.41,
"DNK","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",-0.41,
"DNK","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",-0.41,
"BGR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",0.216666666666667,
"BGR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",0.14,
"BGR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",0.36,
"BGR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",0.32,
"BGR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",0.32,
"BGR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",0.22,
"BGR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",0.22,
"BGR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",0.17,
"BGR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",0.17,
"BGR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",0.12,
"BGR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",0.12,
"BGR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",0.12,
"BGR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",0.12,
"LUX","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",-0.29519492,
"LUX","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",-0.335151515333333,
"LUX","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",-0.303761904666667,
"LUX","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",-0.360640755333333,
"LUX","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",-0.340640755333333,
"LUX","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",-0.340640755333333,
"LUX","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",-0.340640755333333,
"LUX","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",-0.340640755333333,
"LUX","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",-0.340640755333333,
"LUX","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",-0.340640755333333,
"LUX","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",-0.340640755333333,
"LUX","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",-0.340640755333333,
